review,sentiment
"Sitting in a big wing chair with a huge book in his lap, the one and only Bela Lugosi looks into the camera and, in a dreadful vocal delivery that sounds as if he were mocking a reading of Shakespeare, intones sloooow-ly: ""Man's constant groping of things unknown, drawing from the endless reaches of time, brings to light many startling things; (snicker); startling?, because they seem new (Lugosi's eyes now bulging, with raised eyebrows, and mouth sneering, he continues) but most are not new, the signs of the ages"" (cue a visual of lightening, accompanied by the sound of thunder which then continues to rumble for an astonishing 86 seconds).<br /><br />And so begins what is arguably the worst film ever made. This ""movie"" almost defies description. Told in semi-docudrama style with an unseen narrator explaining the plot ... such as it is ... the story revolves around the vicissitudes of a man named Glen (Ed Wood, Jr.) who cross-dresses; hence the reference to Glenda. The film has no real structure. Instead, it consists mostly of a random assortment of vignettes that may ... or may not ... relate to Glen or to the cross-dressing motif. One long sequence consists of some unknown woman wriggling on a sofa, followed by a man whipping a woman in what we would today refer to as S&M.<br /><br />Then, at odd moments Bela reappears, for no apparent reason, and babbles more inane dialogue, like: ""When he's wrong because he does right, and when he's right because he does wrong; pull the string, dance to that."" Huh?<br /><br />About twenty percent of the film's visuals consist of stock footage, accompanied by a VO that relates to the story motif but not the visuals. Hence, we see stock footage of: bustling city streets, freeway traffic, a thunderous herd of buffalo, and a playground full of kids. But it gets worse. In a film about cross-dressing, we have 58 consecutive seconds of stock footage of a foundry furnace making hot steel, and 84 consecutive seconds of battle scenes from WWII.<br /><br />Even the simplest items are botched. In one scene we see a newspaper headline that reads ""Man Nabbed Dressed as Girl"". Underneath the headline, which has clearly been glued or pasted on, the article is about ... taxes. In one of my favorite scenes, an off-screen woman spouts out: ""airplanes, why it's against the creator's will"", in a voice that sounds like she's just inhaled helium.<br /><br />Except for the performance of Lyle Talbot, the acting is uniformly horrendous. Production design is cheap looking and drab; (but you gotta love that tacky wallpaper). The editing is sloppy. Most of the background music is suitable only for 1950 style elevators. The B&W cinematography has way too much contrast. And the costumes look like something that came from a thrift store.<br /><br />This film is so bad it makes ""Plan 9 From Outer Space"" look like ""Citizen Kane"", by comparison. I just don't know how one could make a film any worse than Ed Wood's ""Glen Or Glenda"". But thankfully, it's got Bela Lugosi in it. Every time he opened his mouth, and gazed into the camera with those big, bulging eyes, I about fell on the floor laughing.",negative
"I agree with what so many others have said about the shallow and offensive nature of this film's examination of racism. It is baffling to me that so many people seem to have been fooled by its pretentiousness. I want to comment on the Matt Dillon character as an example of what's most infuriating about this movie. Here we have a man who -- contrasted with the film's underlying message that ""we're all a LITTLE racist"" -- effectively rapes a woman in public, cruelly humiliating her husband and deliberately goading him to make a move that, as he well knows, will lead to his arrest or even death. He does all this after pulling the couple over without any legal cause but because, as we come to understand, they are black and wealthy and he is a hurt little boy who is now the police and can therefore do as he pleases. This behavior is not a LITTLE racist. This behavior is evil. It is disturbing to me that this extreme of racism is held up next to another character's behavior -- spouting her paranoid stereotypes about gang violence -- to illustrate that everybody's a LITTLE racist. Later, we're spoon-fed some tripe about Dillon's poor old dad and how black folks drove him into the poor house. Is this supposed to explain, or worse, excuse this behavior? And is Dillon's character meant to redeem himself by committing the utterly unmotivated and unbelievable, laughably coincidental act of saving the woman he sexually assaulted the very night before? Please. The fact that so many people seem to feel some kind of self-congratulatory admiration for this film makes me feel sad about the shallowness of our understanding of racism, and our apparent lack of commitment to condemning and ending it.",negative
"Men, do I love police movies filled with action, shooting, chases etcetera.<br /><br />Boy, was I let down after watching this short and unsatisfying movie. We've seen it all before, the hostages, the bank, the surrounding... Yet, 2 bad guys that shoot down multiple officers and innocent people who simply stay in the line of fire - without getting hit due to some Kevlar.<br /><br />Not just a few shots, no, hundreds of shots. Going back into the bank, where the dumb hostages didn't lock the safe or doors when the bad guys went out. How stupid did the director think we'd be.<br /><br />Okay, the shots in between that fake a documentary were good, but after seeing the film I only got the thought: why didn't the police get a decent shooting course? And why where there so many cops and was SWAT on a real long break. Truly bad.",negative
"I'm not sure what the point of making this film was. It looked as if it was made by some historical society to be shown in your local 'Pistol Pete' museum. At first it appears that it could be the beginning of a Mad TV or SNL sketch. But then the joke is on you when there is no punchline and you realize that someone was taking this seriously. The story wasn't bad but the inclusion of the SASS members seemed to be a ploy (that worked) to get me to see the film. I swear, the trailer listed every character in the film down to ""dead cowboy #5"". The reason Westerns are so fun is the atmosphere and the characters it brings. I just had the feeling I was watching Civil War rean-actors dressed up as cowboys. Not even worth the digital video it was recorded on.",negative
"I have no read the novel on which ""The Kite Runner"" is based. My wife and daughter, who did, thought the movie fell a long way short of the book, and I'm prepared to take their word for it. But, on its own, the movie is good -- not great but good. How accurately does it portray the havoc created by the Soviet invasion of Afghanistan? How convincingly does it show the intolerant Taliban regime that followed? I'd rate it C+ on the first and B+ on the second. The human story, the Afghan-American who returned to the country to rescue the son of his childhood playmate, is well done but it is on this count particularly that I'm told the book was far more convincing than the movie. The most exciting part of the film, however -- the kite contests in Kabul and, later, a mini-contest in California -- cannot have been equaled by the book. I'd wager money on that.",positive
"""Showtime"" falls somewhere north of what some critics have been saying, and a little south of what I expected months ago when I first heard about Eddie Murphy and Robert Di Niro teaming up for a comedy. Overall, it was pretty good! As ""real life"" crime or cops go-- and plot, for that matter-- it is pretty illogical, but DUH--- this is a comedy. Also, while the special effects, chases, aerial shots, and skyscrapers blowing up were present but lower key than a Schwartzenegger movie, I found it a bit tiresome and overdone. 9/11 sensibilities aside, for myself, all that pyro-techno hyper-effect stuff had been getting really old these past few years. It seemed a lame substitute for characterization, story, and engaging emotions. I hope the lesser quantity of it in ""Showtime"" is an indicator of a trend in Hollywood. A trend downwards, of less use of the silly, less use of the exploding building.<br /><br />Di Niro and Murphy are two of my favorites. Their screen presence and charisma-- and even their character depth-- have been ""a joy to behold"" for many years. That can't be dismissed here--- they are engaging actors, and entertaining and appealing in this movie. I can't put my finger on it, but perhaps the explosions, the excessive FX, and all of that diminished the final product??? Perhaps, or perhaps it was something else, or a combination of factors that gives one the sense that the movie didn't achieve its highest potential. Whatever it was, ""Showtime"" was entertaining-- I probably will buy the DVD when it comes out-- but I had the vibe that it nonetheless wasn't all it could have been. At least not all I had hoped for.<br /><br />Very good movie, but not a great movie. I gave it an 8 out of 10.",positive
"""Cat In The Brain"" is a series of extremely violent sequences knitted together by a plot that feels more like an overview, describing director Lucio Fulci's most notorious years of film-making. The movie could also be seen as a dark comedy of sorts, effectively spoofing the various claims that violent cinema causes violence in real life. Fulci goes further than that, he casts himself as the star, the central figure of the film thus showing the audience who is the man behind all the cinematic gore. ""Cat in The Brain"" is not about presenting a clear story and following it. Instead it pokes fun at some of the clichés that have been surrounding the horror genre for years.<br /><br />Lucio Fulci plays himself as a horror director struggling to keep his humanity intact. Years of violent film making have finally began to reach him. It starts slowly, steaks and meat in general begin to disgust him, his colleagues assure Fulci that all he needs is some rest. But that doesn't help and soon the grotesque ideas for his movies begin to overwhelm his daily thoughts. In an attempt to find a cure for his dangerously maddening mental state Lucio starts going to the local psychiatrist. Unfortunately that does more wrong than good and Fulci is thrown into an even bigger mess, as the psychiatrist turns out to be a psychopath, who mimics the murders from Fulci's films in real life.<br /><br />The film retains all the trademarks of Italian splatter cinema, good or bad they are all here. So any comments about the acting or the technical aspects and budget constrains are quite irrelevant as to the quality of the film. It is a visual experience, no doubts about it. Fulci throws in an incredible amount of violence easily surpassing pretty much everything he's made. Amputated by chainsaw limbs, cannibalism, child murder, decapitation, these are just some of the many grotesque acts witnessed in ""Cat In The Brain"". Some of them are obviously recycled from a few the director's less profile movies but they don't stand out of the context, and actually feel quite at home here. As I noted before the movie exists much better as a satire of the genre rather than a serious piece. The way some of the violence is presented does help establish that idea. Such sequences shortly after climax are rejected by the reality in the film, as they are revealed to be actually scenes inside a movie that Fulci's character is directing. This sort of ""film in film"" presentation lessens somewhat the impact of the gore. But in no way does it make it an easy to watch film. Oh no this is far beyond and above the levels of gore found in mainstream horror, and gorehounds will in no doubt be satisfied with that fact.<br /><br />Lucio Fulci was a very polarized figure. People either hate his work or love it. ""Cat in the Brain"" won't convince any of Fulci's detractors in the opposite but it is nevertheless an interesting part of his filmography. One that fans should really check out.",positive
"The only redeeming feature of this movie is Steve Carell. Like John Wayne, I've never seen Steve Carell stretch too far as an actor, but it doesn't matter. He always plays his one role perfectly.<br /><br />As Marty Feldman once said, comedy must have internal consistency. You can have 4 men on stage sitting in garbage cans, and that's fine, but if you bring a fifth man on stage who isn't in a garbage can, you must then explain to the audience why he is not also in a garbage can.<br /><br />Why doesn't Evan accept his role as a messenger of God? Why, when he does accept it, is he so profoundly embarrassed by it? Why isn't anyone more impressed with the way that animals follow Evan around (they are explained away by the unthinking doubters as ""trained animals"" possibly from a circus). There's a terrible flood at the end, and most everyone we see hops on the ark and is saved, but surely thousands of people would have been killed by the flood; there is no post-disaster emotional atmosphere at the end. Instead, most of congress has finally seen the light and is about to prosecute the lone incorrigibly bad congressman for ""profiteering"".<br /><br />I gotta admit: I also liked the fish in the aquarium reacting to the presence of Evan.",negative
"I have a friend that works at blockbuster, and he gets 5 free movie rentals a week, so one day as we were scouring the aisles for something interesting, i stumbled across 18 Weapons of Kung Fu, and judging by the box alone, this movie seemed pretty wack, but nonetheless we gave into temptation and rented it -- afterall, it was free.....and thank god it was....this is by far THE WORST movie i have ever seen....the budget must have been a pickle and a piece of string...the plot was ridiculous, the only mention of the ""18 weapons"" is that there is some book that teaches the ways of the 18 weapons that some bad guy is after -- and thats it! there isnt even any weapon fighting in this movie...that and the action sequences are just flat-out BAD....9 times out of 10 the other guy's punches and kicks come about a foot away from landing on the other guy's, and there are MANY times when the the movie will skip frames (a result of ridiculously poor editing)....the dubbing is as well laughable, and it is hardly even understandable....and we wont even get into the acting...the ending will definitely leave you saying ""wtf??"", however to be fair i must mention that the fighting techniques used by the actors were somewhat decent, and the old guy is a mad chump....but thats about it...thankfully i didnt have to pay for this movie, but i guess at least now i know exactly how bad a movie can actually be....",negative
"This movie should be called ""plan 9 from joseph smith."" i think its weirdness is underappreciated. the playwright seems to have read paul ehrlich's ""the population bomb (1968),"" and crafted a musical response made especially for mormons. the whole point of the play is that having as many children as you can is part of ""heavenly father's"" (god's) plan. and anything that stands in the way of having more babies is very bad. get it?<br /><br />This version was filmed in 1989, which is confusing. it's utah, so it looks and feels like 1983, the play was actually written in 1973, and of course, the theology is part 1840's, part battlestar galactica. some of the action takes place on earth and some in the ""pre-existence, an aimless romper-room where annoying kids wait to get their bodies so they can come down try not to slam the door on the missionaries, losing their shot at celestial glory.<br /><br />it is as stagey as they come, but don't let the poor theatrics spoil your appreciation for this demented mormon universe where the 'cool kids' are all into population control, (presumably) counseling their parents not to have any more children!! having big families was, at the time the play was written, the cultural norm in the lds community, and more importantly, considered part of God's plan. the church has since done a 180, and have made family planning a choice of the parents, and large families are much less the cultural norm now. making the entire doctrinal premise of the movie for a modern-day mormon moot!<br /><br />ahhh but it's really only as good as the music. there are some catchy tunes here that just won't let this movie die the 1970's death it was pre-destined for. the brother and sister sing some love songs to each other that make you wonder if maybe something else was going on there --wink. and the tough, cool kids make new kids on the block look like metallica. so cheers to all that! gather the family around, make some jell-o shooters and enjoy the show!<br /><br />",negative
"One of my favorite movies. Great cast, lead by Jonathan Silverman and Blythe Danner. Serious drama situations with brilliant comedic punches. An exact mixture of character and story. Real people with real problems, and everyone has a different relationship with each family member. Sensitively moves from slightly-sad to hilariously-funny. Read the quotes. This is the best adaptation of a Neil Simon play.<br /><br />If you wanna see more of Eugene check Biloxi Blues (starring Matthew Broderick who played in both stage versions) is OK, a bit on a darker side. Get away from the made-for-TV Broadway Bound.",positive
"Bela Lugosi is a real enigma. In the early 1930s, he was on top of the world after appearing in Dracula. Yet, again and again, he made lousy decisions regarding his career. Perhaps he had a bad agent, perhaps his drinking and drug use had a part in it or maybe he was just crazy. Regardless, he ruined his reputation by appearing in pretty much any film--ranging from excellent horror films (such as THE RAVEN) to big-budget flicks (like NINOTCHKA) to grade-Z flicks for the cheapest and shoddiest of studios. Interestingly enough, although he agreed to do this terrible film, he actually turned down the role that later went to Boris Karloff in FRANKENSTEIN! As for this movie, it is a very silly an horridly produced WWII propaganda film that featured a dumb plot and wretched editing. Lugosi spends much of the movie murdering saboteurs--not a bad thing at all. But at the end, we find out that he is himself a Nazi plastic surgeon and all the American-looking men he killed were actually Japanese!!!! The funniest part of this is during a flashback. You see Lugosi talking to a group of Japanese men before he changes them to American-like men. When the camera scans them, the men are clearly Asian. But, on all the other non-close-up shots, they are all VERY Western looking--many with bald heads!! They looked absolutely NOTHING like Japanese men. I suspect the plot must have undergone a re-write and this might account for the obvious mistake. Or, it could just be shoddy production values and editing. In fact, early in the film, they show a street scene in the city and all the cars (circa 1942) are old Model T Fords--obviously from stock footage!!! The bottom line is that the film is bad but also very dull. Unlike PLAN 9 FROM OUTER SPACE, it's hard to laugh at the ineptitude--just be put to sleep by it.",negative
"Intended as light entertainment, this film is indeed successful as such during its first half, but then succumbs to a rapidly foundering script that drops it down. Harry (Judd Nelson), a ""reformed"" burglar, and Daphne (Gina Gershon), an aspiring actress, are employed as live window mannequins at a department store where one evening they are late in leaving and are locked within, whereupon they witness, from their less than protective glass observation point, an apparent homicide occurring on the street. The ostensible murderer, Miles Raymond (Nick Mancuso), a local sculptor, returns the following day to observe the mannequins since he realizes that they are the only possible witnesses to the prior night's violent event and, when one of the posing pair ""flinches"", the fun begins. Daphne and Harry report their observations at a local police station, but when the detective taking a crime report remembers Harry's criminal background, he becomes cynical. There are a great many ways in which a film can become hackneyed, and this one manages to utilize most of them, including an obligatory slow motion bedroom scene of passion. A low budget affair shot in Vancouver, even police procedural aspects are displayed by rote. The always capable Gershon tries to make something of her role, but Mancuso is incredibly histrionic, bizarrely so, as he attacks his lines with an obvious loose rein. Although the film sags into nonsense, cinematographer Glen MacPherson prefers to not follow suit, as he sets up with camera and lighting some splendidly realised compositions that a viewer may focus upon while ignoring plot holes and witless dialogue. A well-crafted score, appropriately based upon the action, is contributed by Hal Beckett. The mentioned dialogue is initially somewhat fresh and delivered well in a bantering manner by Nelson and Gershon, but in a subsequent context of flawed continuity and logic, predictability takes over. The direction reflects a lack of original ideas or point of view, and post-production flaws set the work back farther than should be expected for a basic thriller.",negative
"The quality you're likely to remember after viewing The Big Knife is how claustrophobic it is. It's pacing is sacrificed to a uniform texture of dialog. It's talky in the extreme. Modern viewers will feel every point has been made (and then some) but the movie will still not move on, or do the viewer a favor and change the scenery. It's very inert. At the 45 min mark I was sure I had watched two very slow hours. My beleaguered response was, ""Good God, where is this going?"" It feels like Odets was paid by the word...<br /><br />This is a good place to note the decline of drama from it's high point in the 40s through the conceit-laden projects of the 50s and 60s until actual filmic merit was rediscovered in the 70s, only to vanish again. Here we get show-offy, conventional, emotional outbursts from Steiger, Lupino et al. and camera moves pre-arranged to meet over-practiced blocking. This is due to the rise of the Method; the regrettable trend of sacrificing every other merit of film, to grant actors their most selfish wishes. ""Great acting,"" ho-hum, has killed thought in movies.<br /><br />Jack Palance's forehead & pompadour retract and thrust forward every time he reacts to something. It's disturbing.<br /><br />This is awfully boring stuff.",negative
"Did we all see the same movie??? I can't believe the raves some of the others are giving this really awful bio which, believe or not, was authorized by Shirley Temple herself, based on her book CHILD STAR. Gives me the feeling that some are awfully easy to please.<br /><br />First of all, ASHLEY ROSE ORR, whatever her modest talents are, in no way, shape or form even resembles Shirley Temple enough to be cast as her in this sort of straightforward biography of the world's most famous child star. She gives no indication of why or how this child was so revered except for trying her hardest to do a Shirley impersonation which never clicks on any level. None whatsoever.<br /><br />And that is the major handicap of the whole piece. But as if that isn't bad enough, any drama inherent in Shirley's story of her climb to almost overnight stardom has been completely white-washed with insipid writing peppered with occasional song and dance moments that don't even approximate what Shirley did (as for example, ""The Codfish Ball"" with Buddy Ebsen which was probably the high point of Shirley's choreographed dance routines).<br /><br />Simply putting a girl in a polka dot dress doesn't make her Shirley Temple. None of Shirley's own brand of charm, warmth and appeal is even remotely suggested. All we see on display is a pale imitation of the original proving, once and for all, that there was only one Shirley Temple.<br /><br />It's worthless to write anything further about this mess. None of the others are more than ordinary in lifeless roles. My advice for Shirley's fans is to read her book--or better still--watch her movies.<br /><br />This is the pits.",negative
